value,label,description
60000-rebonds,60 000 rebonds,
action-logement,Action logement,
adie,Adie,
afpa,AFPA,
agefiph,AGEFIPH,
aidants-connect,Aidants Connect,
alliance-villes-emploi,Alliance villes emploi,
anlci,ANLCI,
apec,APEC,
apels,APELS Agence Pour l’Education par Le Sport,
apprentis-dauteuil,Apprentis d’Auteuil,
aptic,APTIC,
banques-alimentaires,Banques alimentaires,
bge,BGE,
caf,CAF,
campus-connecte,Campus connecté,
cap-emploi-reseau-cheops,CAP Emploi - Réseau CHEOPS,
cci,CCI,
chantier-ecole,Chantier école,
cidff,CIDFF,
cnam,CNAM,
collectif-emploi,Collectif emploi,
conseiller-numerique,Conseiller numérique,
coorace,Coorace,
crepi,CREPI,
cresus,Crésus,
croix-rouge,Croix rouge,
dihal,DIHAL,
duo-for-a-job,Duo for a job,
ecoles-de-la-deuxieme-chance,Ecoles de la deuxième chance,
egee,EGEE,
emmaus,Emmaus,
envie,Envie,
epide,EPIDE,
espace-emploi-agric-arrco,Espace Emploi Agirc Arrco,
fabrique-de-territoire,Fabrique de Territoire,
face,Fondation FACE,
fede-pro-fem,Federation Professionnelle Pour les Femmes,
federation-des-acteurs-de-la-solidarite,Fédération des acteurs de la solidarité,
federation-des-entreprises-dinsertion,Fédération des entreprises d’insertion,
force-femmes,Force Femmes,
france-active,France Active,
france-service,France service,
french-tech,French Tech,
geiq,GEIQ,
grand-test-couveuse-dentreprise,Grandes écoles du numérique,
grandes-ecoles-du-numerique,Grand Test Couveuse d’entreprise,
hup,H’UP,
inae,INAE,
initiative-france,Initiative France,
konexio,Konexio,
la-cravate-solidaire,La Cravate Solidaire,
la-ressourcerie,La ressourcerie,
les-premieres,Les Premières,
linklusion,Linklusion,
maisons-de-lemploi,Maisons de l’Emploi,
mdph,MDPH,
mission-locale,Mission Locale,
mobin,Mobin,
nqt,NQT,
point-conseil-budget,Point conseil budget,
point-justice,Points Justice,
pole-emploi,Pôle emploi,
positive-planet,Positive Planet,
proxite,Proxité,
reseau-entreprendre,Réseau Entreprendre,
ressourceries,Ressourceries,
restos-du-coeur,Restos du coeur,
scconseil,SC Conseil,
secours-populaire,Secours populaire,
siao,SIAO,
simplon,Simplon,
sinca,SINGA,
snc,SNC - Solidarité Nouvelle Face au Chômage,
sport-dans-la-ville,Sport Dans La Ville,
tous-tes-possible,Tous Tes Possibles,
tzcld,TZCLD - Territoire Zero Chomeur Longue Durée,
unaf,Union nationale de l’aide aux familles,
unai,UNAI,
unccas,Union nationale des centres communaux d’action sociale,
unea,UNEA,
unis-cite,Unis-Cité,
